Notes,County,County Code,Year,Year Code,Month,Month Code,MCD_Drug_Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Month_Date
,"Jackson County, MO",29095.0,2020,2020.0,7,2020/07,All other non-drug and non-alcohol causes,O9,611.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-07-01
,"Jackson County, MO",29095.0,2020,2020.0,8,2020/08,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-08-01
,"Jackson County, MO",29095.0,2020,2020.0,8,2020/08,All other drug-induced causes,D9,94.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-08-01
,"Jackson County, MO",29095.0,2020,2020.0,8,2020/08,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-08-01
,"Jackson County, MO",29095.0,2020,2020.0,8,2020/08,All other non-drug and non-alcohol causes,O9,656.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-08-01
,"Jackson County, MO",29095.0,2020,2020.0,9,2020/09,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-09-01
,"Jackson County, MO",29095.0,2020,2020.0,9,2020/09,All other drug-induced causes,D9,94.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-09-01
,"Jackson County, MO",29095.0,2020,2020.0,9,2020/09,All other alcohol-induced causes,A9,29.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-09-01
,"Jackson County, MO",29095.0,2020,2020.0,9,2020/09,All other non-drug and non-alcohol causes,O9,551.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-09-01
,"Jackson County, MO",29095.0,2020,2020.0,10,2020/10,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-10-01
,"Jackson County, MO",29095.0,2020,2020.0,10,2020/10,All other drug-induced causes,D9,96.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-10-01
,"Jackson County, MO",29095.0,2020,2020.0,10,2020/10,All other alcohol-induced causes,A9,18.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-10-01
,"Jackson County, MO",29095.0,2020,2020.0,10,2020/10,All other non-drug and non-alcohol causes,O9,650.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-10-01
,"Jackson County, MO",29095.0,2020,2020.0,11,2020/11,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-11-01
,"Jackson County, MO",29095.0,2020,2020.0,11,2020/11,All other drug-induced causes,D9,94.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-11-01
,"Jackson County, MO",29095.0,2020,2020.0,11,2020/11,All other alcohol-induced causes,A9,25.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-11-01
,"Jackson County, MO",29095.0,2020,2020.0,11,2020/11,All other non-drug and non-alcohol causes,O9,705.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-11-01
,"Jackson County, MO",29095.0,2020,2020.0,12,2020/12,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-12-01
,"Jackson County, MO",29095.0,2020,2020.0,12,2020/12,All other drug-induced causes,D9,96.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-12-01
,"Jackson County, MO",29095.0,2020,2020.0,12,2020/12,All other alcohol-induced causes,A9,29.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-12-01
,"Jackson County, MO",29095.0,2020,2020.0,12,2020/12,All other non-drug and non-alcohol causes,O9,741.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-12-01
,"Jackson County, MO",29095.0,2021,2021.0,1,2021/01,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-01-01
,"Jackson County, MO",29095.0,2021,2021.0,1,2021/01,All other drug-induced causes,D9,98.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-01-01
,"Jackson County, MO",29095.0,2021,2021.0,1,2021/01,All other alcohol-induced causes,A9,30.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-01-01
,"Jackson County, MO",29095.0,2021,2021.0,1,2021/01,All other non-drug and non-alcohol causes,O9,765.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-01-01
,"Jackson County, MO",29095.0,2021,2021.0,2,2021/02,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-02-01
,"Jackson County, MO",29095.0,2021,2021.0,2,2021/02,All other drug-induced causes,D9,93.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-02-01
,"Jackson County, MO",29095.0,2021,2021.0,2,2021/02,All other alcohol-induced causes,A9,18.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-02-01
