"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"All other alcohol-induced causes"	"A9"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"All other non-drug and non-alcohol causes"	"O9"	551	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"All other drug-induced causes"	"D9"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"All other alcohol-induced causes"	"A9"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"All other non-drug and non-alcohol causes"	"O9"	650	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"All other drug-induced causes"	"D9"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"All other alcohol-induced causes"	"A9"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"All other non-drug and non-alcohol causes"	"O9"	705	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"All other drug-induced causes"	"D9"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
